seq,phase,topic,initiator,exchange_summary,outcome,refs
28,harvest,Article generalization,claude,"Game articles → framework principles: engine/data separation, deterministic ops, generic entities, admin observability, replaceability audits, AI-boundary","6 base-article candidates; key insight from 030: failure mode was a missing trigger not missing law",Art.001-006
29,harvest,Article packs concept,claude,"Not every article is universal (AI-boundary irrelevant to static sites) — optional versioned packs offered at onboarding, toggleable","Article packs adopted as concept",governance.md
30,walkthrough,Format request,ben,"Ben: step through items one-by-one — synopsis, recommendation+why, example; wants to interject individually","Walkthrough format established; 36 items",—
31,walkthrough,Item 1 constitution,ben,"KEEP; Ben raised vocabulary question: is article right or amendment?","Kept; vocab: articles=provisions, amendments=change events; final pass = T-004",T-004
32,walkthrough,Item 2 injection,ben,"KEEP; Ben extension: for hook-less harnesses (Codex) inject template-level rules harder for better enforcement","Capability-compensation mechanism born — injection intensity scales with missing hooks",G6
33,walkthrough,Item 3 design gate,ben,"KEEP the anti-rubber-stamp 3-step gate; threshold becomes declared data","Agreed",workflow.md
34,walkthrough,Item 4 boards + protocol,ben,"KEEP boards/freezer/trash + awaiting-validation rename; Ben established standing rule: saying agree/keep includes Claude's bundled refinements","Protocol saved to persistent memory",memory
35,walkthrough,Item 5 orchestrator split,ben,"KEEP single-writer state; loosen never-write-code dogma — delegation threshold as declared data","Agreed",workflow.md
36,walkthrough,Item 6 routing,ben,"KEEP 3-signal scoring; weights become declared config; scorer swappable via registry","Agreed",state-model.md
37,walkthrough,Item 7 load_at_start,ben,"KEEP user-approved startup docs; flag moves to frontmatter; startup token budget as governed number","Agreed",T-019/T-036
38,walkthrough,Item 8 health checks,ben,"KEEP two-speed model; health kinds become a registry; structured findings replace imperative prose in tool output","Agreed",T-036
39,walkthrough,Item 9 onboarding,ben,"KEEP interview; becomes declarative branching question graph; features/packs register questions; resume as local state","Agreed",T-023
40,walkthrough,Item 10 projects-first,ben,"KEEP single-is-one-project; principle named: one is a count not a shape; cross-project deps day one","Agreed",—
41,walkthrough,G15 reconciliation,ben,"Mid-walkthrough addition: track last commit, detect non-AI developer changes at session start, auto-discover, propose resolution","G15: per-machine watermark; serves non-AI teammates AND post-merge sync",G15; T-030
42,walkthrough,Item 11 scope pointer,ben,"KEEP active-project pointer + [project:] echo; pointer becomes per-machine ephemera; computed resolution","Agreed",T-019
43,walkthrough,Item 12 tutorial,ben,"KEEP curated no-scan tour; topics modular per feature; shares corpus with nudges; staleness guard","Agreed",T-034
44,walkthrough,Item 13 pending markers,ben,"KEEP [Pending]→auto-task; markers carry the question; idempotent dedup+auto-close; health-rule implementation","Agreed",T-038
45,walkthrough,Item 14 findings→tasks,ben,"KEEP; generalized: one observation→typed-task mechanism for ALL finding sources; shared severity vocabulary; structured provenance","Agreed",T-016
46,walkthrough,Item 15 context doctrine,ben,"KEEP /clear-freely + size limits as the philosophical core; limits as declared data; doctrine ships as content; crash-safe housekeeping","Agreed",—
47,walkthrough,Item 16 verification,ben,"KEEP verify-capability-not-indicator; generalize to smoke-test registry + standing doctor command; rerun after updates","Agreed; KEEP group complete 16/16",T-029
48,walkthrough,Item 17 format choice,claude,"CHANGE SQLite→text: markdown+YAML frontmatter for human entities, YAML/JSON for structural; worked task-file example","Presented; triggered 4-exchange routing/index discussion",state-model.md
49,walkthrough,Item 17 routing truth,ben,"Ben: what about code routing, doc routing — not just tasks?","Sorting rule: computable=derived never tracked; curated=truth closest to subject; sparse code-curation overlay file",state-model.md
50,walkthrough,Item 17 query path,ben,"Ben: frontmatter doesn't help queries — need an index; can't run an index service at launch?","Clarified: frontmatter is truth for REBUILD; queries hit compiled gitignored index only; no daemon anywhere",state-model.md
51,walkthrough,Item 17 index in git?,ben,"Ben: if index gitignored, can next person pick up and go? put it in git?","No — tracked derived files conflict by construction (claude.db disease); setup builds it + lazy self-healing rebuild covers all cases",state-model.md
52,walkthrough,Item 17 LLM in rebuild?,ben,"Ben: does setup index generation require an LLM or is that what frontmatter is for?","Exactly — intelligence at write time frozen as data; rebuild is mechanical/deterministic/offline; Ben adds: size limits exclude frontmatter","state-model.md"
53,walkthrough,Item 18 feature registry,ben,"CHANGE full/minimal→registry; Ben extension: presets enable more onboarding profiles beyond scratch/single/multi — purpose-built configs later","Agreed; presets are named toggle bundles",T-014
54,governance,Articles for THIS project,ben,"Ben aside: we ARE in a template managing the rewrite — suggest articles now for consistent governance?","6 articles proposed from session decisions; Ben ratified all six",Art.001-006
55,walkthrough,Item 19 update system,claude,"CHANGE 1453-line script→pristine-baseline 3-way merge; dumb static channel (tarballs+signed index); HTTP detection with cooldown","Presented",distribution.md
56,governance,9 vs 11 catch,ben,"Ben caught Claude saying 9 articles when 11 exist — category-filtered injection had shown a subset and Claude mistook it for the whole","Live lesson → refinement: injections must self-describe their filtering (9 of 11 shown)",governance.md
57,walkthrough,Item 19 verdict,ben,"Agree after the catch","Adopted",T-026-028
58,walkthrough,Item 20 shims,ben,"CHANGE generated CLAUDE.md→thin shims + 3-layer assembly (core/harness/model)","Agreed; Ben then opened numbering topic",T-018/T-039
59,governance,Numbering round 1,ben,"Ben: dislike workspace/001 vs project/001 same number ambiguity; remembers oval numbers","Claude v1: global unique + reserved framework band",governance.md
60,governance,Numbering round 2,ben,"Ben counter: no upfront assignment — receiving workspace assigns next available; leans into idempotency; packs resolved by receiver","Consequence surfaced: numbers become purely local aliases; shipped content must reference by slug",governance.md
61,governance,Numbering round 3,ben,"Ben synthesis: keep reserved set for template consistency BUT system adapts rather than enforces; local ones only matter locally","Preferred numbers honored-if-free adapted-if-not",governance.md
62,governance,Numbering final,ben,"Ben: banded blocks — workspace 1-99, project1 100-199, project2 200-299, overflow allocates another block, tracked in frontmatter","Adopted as final standard; band encodes jurisdiction; different scopes cannot collide",governance.md
63,walkthrough,Item 21 pipeline,ben,"CHANGE hardcoded order→per-project declared stage graph; agree; Ben: colleague that DAY wanted tests-first — this system lets him move the stage; also requested external visual management tool","T-002 created (HTML drag-drop pipeline editor, no harness needed)",T-002
64,walkthrough,Item 22 rubrics,ben,"CHANGE hardcoded TS rubrics→assembled from core method + project conventions + trigger-matched articles; governance and review converge","Agreed",T-037
65,walkthrough,Item 23 IDs,ben,"CHANGE sequential→typed short random slugs (T-k7f3m); title in filename; articles keep numbers (different minting rates, different schemes)","Agreed",T-009
66,walkthrough,Item 24 commit gate,ben,"CHANGE substring regex→shell-parsed per-segment verdicts; structured actionable block messages; fixture-tested","Agreed",T-020
67,walkthrough,Item 25 GC,ben,"CHANGE destructive GC→git-is-archive; Ben override: pruning stays a SILENT side effect (housekeeping shouldn't nag) + extend tooling to look up pruned items","Silent auto-prune + archive-lookup tool; freezer never prunes",T-032
68,walkthrough,Item 26 board view,ben,"Ben insight: projection is script-not-AI now — board view at session start free, no tokens, developer has VS Code open","Render-on-mutation live board.md; agent never reads it; three consumers one truth",T-011
69,walkthrough,Item 27 model overlays,ben,"CHANGE static→default+sparse overlays incl. agent model assignments; agree","Adopted",T-039
70,goals,G16 providers,ben,"Ben: plug in other AI (AWS Mantle for ChatGPT, Kimi K3) for adversarial/code/security review — one AI checking another","G16: provider registry; stages declare executor; cross-model review; graceful degradation",T-022
71,walkthrough,Item 28 config,ben,"CHANGE 3 drifting config generations→one versioned validated migrated schema; effective-config inspection","Agreed; CHANGE group complete 12/12",T-007
72,walkthrough,Item 29 formality kills,claude,"Binary DB / legacy config vocab / python manifest — already killed by adopted changes","Confirmed",—
73,walkthrough,Item 30 template_dev,ben,"KILL: artifact-built-from-manifest makes the leak unrepresentable; pristine-boot smoke test replaces guard","Agreed",T-027
74,walkthrough,Item 31 portable VSCode,ben,"KILL editor bootstrap; Ben refinement: post-onboarding tooling recommendations focused on Mermaid viewing (integral to docs)","Agreed + Mermaid nudge adopted",T-034
75,walkthrough,Item 32 bug regexes,ben,"KILL silent regex classification; Ben checked: is classification still automatic? Clarified: agent infers from understanding, pipelines set structurally, validator enforces coverage","Agreed with clarification on record",workflow.md
76,walkthrough,Item 33 command safety,ben,"Ben reclassified kill→CHANGE; requirement: push prevention as DEFAULT to protect against AIs + known-bad command blocking","Feature module ON by default; tiers strict/standard/off; deny-list as data via update channel",T-015
77,walkthrough,Item 34 workspace scope,ben,"CHANGE pseudo-project row→first-class scope; no more never-work-on-it warnings","Agreed; walkthrough complete 36/36 (16 keep / 14 change / 6 kill)",workflow.md
78,decisions,Engine language,ben,"Analysis: Node guaranteed by npm-installed harnesses; kills venv problem; one language everywhere; rejected Go/Rust (extension boundary) and Python","Ben chose TypeScript/Node",platform.md
79,decisions,Team workflow,ben,"4 worked scenarios (solo 2-machine / PR team / shared main / mixed with non-AI dev); decision points: CI state validation near-mandatory; claiming = visibility not locking","Ben chose PR-first optimized, others supported",collaboration.md
80,decisions,Non-goals + arcs,ben,"10 non-goals proposed; Ben on #3: add epics/arcs — AI grouped tasks well only when immersed in a system; make grouping structural; PM bridges (Azure DevOps) as extension class","G17 arcs adopted; PM bridges = extension class not core",G17; T-016
81,decisions,Values-opinionated,ben,"Ben on #5: we DO impose architecture — force modular/extensible/larger systems; code isn't a blocker anymore; abstraction encouraged over readability rationing","Philosophy #6 written openly: abstraction is cheap now, bias toward structure",goals doc
82,decisions,Monorepo clarification,ben,"Ben on #10: isn't monorepo already built in — projects in workspace IS monorepo?","Yes — monorepo is core; excluded thing is multi-repo federation (separate git histories); example given (20 ESB repos)",collaboration.md
83,decisions,Multi-repo coordinator,ben,"Ben: could see coordinator-repo model — projects reference existing repos by path; template runs git against them; also alternate onboarding (manage-in-place); design seams open now","G18 deferred with 3 forward-compat seams (external paths / per-repo watermarks / repo-root param)",G18; T-007/T-009/T-030
84,naming,Framework name,ben,"Shortlist Charter/Accord/Tenet/Keel; Ben liked Keel, asked for more; second round Rudder/Ballast/Cairn/Truss/Chassis/Plinth/Canon/Axiom/Precept + collision exclusions","Ben chose Keel; /keel-* prefix; user prefix = T-003",T-003
85,docs,Goals doc,claude,"Design gate step b: wrote docs/features/keel-rewrite-goals.md (identity, 7 principles, G1-G18, non-goals, architecture sketch, dispositions, numbering standard, 4 pendings)","Written as Draft, presented for review",goals doc
86,docs,Detailed record request,ben,"Ben: also create high-detail technical doc of what we decided and why with examples — ensure everything captured","Hub + 6 sub-docs written (state-model/governance/workflow/platform/distribution/collaboration)",keel-decisions/
87,close-out,Approval + pipeline,ben,"Ben approved → all 8 docs flipped Approved; T-003-006 created for pendings; docs-reviewer found 1 critical (16 vs 18 goals) + 3 advisories — all fixed; full review pipeline acknowledged","T-001 moved to testing",T-001
88,close-out,Board request,ben,"Ben asked to view tasks → snapshot generated via legacy engine renderer","project/board-snapshot.md",—
89,backlog,Full backlog request,ben,"Ben: generate all tasks needed to complete this — built 29 tasks T-007-035 across 8 arcs, design-gates before implementations, milestone granularity","Backlog created; critical path T-007→T-008→T-009",T-007..T-035
90,close-out,Validation + commit,ben,"Ben approved → T-001 validated/done; commit 5474b17 scoped to session artifacts only (pre-session dirty engine files deliberately excluded); commit gate caught dual-project scope (workspace + project pipelines both acknowledged)","Committed on main",5474b17
91,publication,GitHub,ben,"Ben: create GitHub repo and connect — repo ben3683914/keel created public per Ben's choice; SSH host key verified against published fingerprint; first push declined then completed via /push skill","Pushed; main tracks origin/main",github.com/ben3683914/keel
92,verification,Task detail examples,ben,"Ben asked twice for task-detail examples (first answer lost in commit noise) — showed T-007/T-030/T-028 then T-023/T-020/T-035 verbatim with anatomy","Demonstrated",—
93,verification,Traceability audit,ben,"Ben: validate the chain for full SDLC — auditor agent swept goals × dispositions × tasks bidirectionally; 9 gaps found (stranger-docs, health engine, rubric assembly, pending-markers, setup script, instruction docs/assembly, overlay mechanism, thresholds, seams+dogfooding)","T-036-043 created; deps + acceptance criteria fixed; 42 open tasks",T-036..T-043
94,verification,End-to-end path demo,ben,"Ben: show a task's full context available ONLY through its path — walked T-007: read_task → get_relevant_docs (ranked docs + 14 injected articles) → state-model.md content → hub chain; honest gap named (conversational texture not on path, by design)","Path validated live",T-007
95,verification,Confidence assessment,ben,"Ben: confident tasks completable with existing tasks+docs? Calibrated answer: high on audited coverage; structural (design gates produce detail just-in-time); honest risks (gates need Ben, implementation unknowns, single-author docs); real guarantee = system metabolizes its own incompleteness","Assessment delivered",—
96,capture,This file,ben,"Ben: CSV of commentary for future gap-filling + timeline doc to demonstrate this working style to someone","session-commentary.csv + SESSION-TIMELINE.md created at root",—
